#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000024625.1	PRJNA224116	SAMN02598493		representative genome	579137	73913	Methanocaldococcus vulcanius M7	strain=M7		latest	Complete Genome	Major	Full	2009/10/15	ASM2462v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/625/GCF_000024625.1_ASM2462v1		assembly from type material
GCF_002078355.1	PRJNA224116	SAMN03952737		na	74969	74969	Ferroplasma acidiphilum	strain=Y		latest	Complete Genome	Major	Full	2017/04/04	ASM207835v1	Max Planck Institute for Chemical Ecology	GCA_002078355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/078/355/GCF_002078355.1_ASM207835v1		
GCF_000018305.1	PRJNA224116	SAMN00623034		representative genome	397948	76887	Caldivirga maquilingensis IC-167	strain=IC-167		latest	Complete Genome	Major	Full	2007/10/05	ASM1830v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000018305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/305/GCF_000018305.1_ASM1830v1		assembly from type material
GCF_000008265.1	PRJNA224116	SAMN02603345		representative genome	263820	82076	Picrophilus torridus DSM 9790	strain=DSM 9790		latest	Complete Genome	Major	Full	2004/06/08	ASM826v1	Institut of Microbiology and Genetics, University of Goettingen	GCA_000008265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/265/GCF_000008265.1_ASM826v1		assembly from type material
GCF_000023985.1	PRJNA224116	SAMN02598490		representative genome	573064	83171	Methanocaldococcus fervens AG86	strain=AG86		latest	Complete Genome	Major	Full	2009/08/28	ASM2398v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/985/GCF_000023985.1_ASM2398v1		assembly from type material
GCF_000024185.1	PRJNA224116	SAMN02603710		representative genome	634498	83816	Methanobrevibacter ruminantium M1	strain=M1		latest	Complete Genome	Major	Full	2010/02/05	ASM2418v1	Pastoral Greenhouse Gas Research Consortium	GCA_000024185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/185/GCF_000024185.1_ASM2418v1		assembly from type material
GCF_000966265.1	PRJNA224116	SAMN02744072	LANF00000000.1	representative genome	588319	83868	Palaeococcus ferrophilus DSM 13482	strain=DSM 13482		latest	Contig	Major	Full	2015/03/30	ASM96626v1	DOE Joint Genome Institute	GCA_000966265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/966/265/GCF_000966265.1_ASM96626v1		assembly from type material
GCF_000015765.1	PRJNA224116	SAMN00623052		representative genome	410358	83984	Methanocorpusculum labreanum Z	strain=Z		latest	Complete Genome	Major	Full	2007/02/01	ASM1576v1	DOE Joint Genome Institute	GCA_000015765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/765/GCF_000015765.1_ASM1576v1		assembly from type material
GCF_000304355.2	PRJNA224116	SAMEA2272323		representative genome	1201294	83986	Methanoculleus bourgensis MS2	strain=MS2T		latest	Complete Genome	Major	Full	2014/02/04	Mb_MS2	irena.maus	GCA_000304355.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/355/GCF_000304355.2_Mb_MS2		assembly from type material
GCF_900079125.1	PRJNA224116	SAMEA3921042		na	83986	83986	Methanoculleus bourgensis		BA1	latest	Complete Genome	Major	Full	2016/05/05	MBBA	CEBITEC	GCA_900079125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/125/GCF_900079125.1_MBBA		
GCF_000025285.1	PRJNA224116	SAMN00017459		representative genome	572546	84156	Archaeoglobus profundus DSM 5631	strain=DSM 5631		latest	Complete Genome	Major	Full	2010/01/19	ASM2528v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000025285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/285/GCF_000025285.1_ASM2528v1		assembly from type material
GCF_000092465.1	PRJNA224116	SAMN00002730		representative genome	591019	84599	Staphylothermus hellenicus DSM 12710	strain=DSM 12710		latest	Complete Genome	Major	Full	2010/06/01	ASM9246v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000092465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/465/GCF_000092465.1_ASM9246v1		assembly from type material
GCF_900036045.1	PRJNA224116	SAMEA3857231		na	86622	86622	Methanoculleus sp. MAB1		Methanoculleus sp MAB1	latest	Complete Genome	Major	Full	2016/02/15	Methanoculleus sp MAB1	SLU	GCA_900036045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/036/045/GCF_900036045.1_Methanoculleus_sp_MAB1		
GCF_000337195.1	PRJNA224116	SAMN02471670	AOID00000000.1	representative genome	1227496	88724	Natrinema versiforme JCM 10478	strain=JCM 10478		latest	Contig	Major	Full	2013/02/04	ASM33719v1	University of California, Davis	GCA_000337195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/195/GCF_000337195.1_ASM33719v1		assembly from type material
GCF_000513855.1	PRJNA224116	SAMN02597199	AZUU00000000.1	na	1150674	94694	Desulfurococcus amylolyticus Z-533	strain=Z-533		latest	Scaffold	Major	Full	2014/01/07	ASM51385v1	DOE Joint Genome Institute	GCA_000513855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/855/GCF_000513855.1_ASM51385v1		assembly from type material
GCF_000152265.2	PRJNA224116	SAMN02604346		representative genome	333146	97393	Ferroplasma acidarmanus fer1	strain=fer1		latest	Complete Genome	Major	Full	2013/06/26	ASM15226v2	DOE Joint Genome Institute	GCA_000152265.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/265/GCF_000152265.2_ASM15226v2		assembly from type material
GCF_000328665.1	PRJNA224116	SAMN02261367		representative genome	867904	101192	Methanomethylovorans hollandica DSM 15978	strain=DSM 15978		latest	Complete Genome	Major	Full	2012/12/28	ASM32866v1	JGI	GCA_000328665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/665/GCF_000328665.1_ASM32866v1		assembly from type material
GCF_000816105.1	PRJNA224116	SAMN02429659		na	1432656	110164	Thermococcus guaymasensis DSM 11113	strain=DSM 11113		latest	Complete Genome	Major	Full	2015/01/07	ASM81610v1	University of Waterloo	GCA_000816105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/105/GCF_000816105.1_ASM81610v1		assembly from type material
GCF_000011205.1	PRJNA224116	SAMD00061096		representative genome	273063	111955	Sulfolobus tokodaii str. 7	strain=7		latest	Complete Genome	Major	Full	2004/05/11	ASM1120v1	NITE	GCA_000011205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/205/GCF_000011205.1_ASM1120v1		assembly from type material
GCF_001006045.1	PRJNA224116	SAMN02988852		representative genome	113653	113653	Geoglobus ahangari	strain=234		latest	Complete Genome	Major	Full	2015/05/11	ASM100604v1	Michigan State University	GCA_001006045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/006/045/GCF_001006045.1_ASM100604v1		assembly from type material
GCF_000336735.1	PRJNA224116	SAMN02471657	AOLL00000000.1	na	1227458	114529	Haloferax alexandrinus JCM 10717	strain=JCM 10717		latest	Contig	Major	Full	2013/02/04	ASM33673v1	University of California, Davis	GCA_000336735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/735/GCF_000336735.1_ASM33673v1		assembly from type material
GCF_000723845.1	PRJNA224116	SAMEA3139050	CCDK000000000.1	na	114529	114529	Haloferax alexandrinus	strain=Arc-Hr		latest	Scaffold	Major	Full	2014/06/12	PRJEB5511_assembly_1	URMITE	GCA_000723845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/723/845/GCF_000723845.1_PRJEB5511_assembly_1		
GCF_900095295.1	PRJNA224116	SAMEA4378819		na	118062	118062	Methanobacterium congolense		Buetzberg	latest	Complete Genome	Major	Full	2016/09/08	MCBB	CEBITEC	GCA_900095295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/295/GCF_900095295.1_MCBB		
GCF_900095385.1	PRJNA224116	SAMEA4384483	FMID00000000.1	na	118126	118126	Methanoculleus chikugoensis		L21-II-0	latest	Contig	Major	Full	2016/12/16	L21	CEBITEC	GCA_900095385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/385/GCF_900095385.1_L21		
GCF_000337415.1	PRJNA224116	SAMN02471631	AOJD00000000.1	representative genome	1227485	119434	Halorubrum tebenquichense DSM 14210	strain=DSM 14210		latest	Contig	Major	Full	2013/02/04	ASM33741v1	University of California, Davis	GCA_000337415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/415/GCF_000337415.1_ASM33741v1		assembly from type material
GCF_000337115.1	PRJNA224116	SAMN02471662	AOIR00000000.1	na	1227489	121872	Haloterrigena thermotolerans DSM 11522	strain=DSM 11522		latest	Contig	Major	Full	2013/02/04	ASM33711v1	University of California, Davis	GCA_000337115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/115/GCF_000337115.1_ASM33711v1		
GCF_000337575.1	PRJNA224116	SAMN02471673	AOIM00000000.1	representative genome	1227493	123783	Natrialba hulunbeirensis JCM 10989	strain=JCM 10989		latest	Contig	Major	Full	2013/02/04	ASM33757v1	University of California, Davis	GCA_000337575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/575/GCF_000337575.1_ASM33757v1		assembly from type material
GCF_000337535.1	PRJNA224116	SAMN02471628	AOIP00000000.1	na	1227491	129789	Natrialba aegyptia DSM 13077	strain=DSM 13077		latest	Contig	Major	Full	2013/02/04	ASM33753v1	University of California, Davis	GCA_000337535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/535/GCF_000337535.1_ASM33753v1		assembly from type material
GCF_000337895.1	PRJNA224116	SAMN02471660	AOMA00000000.1	representative genome	1227454	130048	Halobiforma nitratireducens JCM 10879	strain=JCM 10879		latest	Contig	Major	Full	2013/02/04	ASM33789v1	University of California, Davis	GCA_000337895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/895/GCF_000337895.1_ASM33789v1		assembly from type material
GCF_900095815.1	PRJNA224116	SAMEA4408318		na	145261	145261	Methanothermobacter wolfeii		SIV6	latest	Complete Genome	Major	Full	2016/12/16	SIV6	CEBITEC	GCA_900095815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/815/GCF_900095815.1_SIV6		
GCF_000008645.1	PRJNA224116	SAMN02603244		representative genome	187420	145262	Methanothermobacter thermautotrophicus str. Delta H	strain=Delta H		latest	Complete Genome	Major	Full	1999/12/22	ASM864v1	Genome Therapeutics Corporation	GCA_000008645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/645/GCF_000008645.1_ASM864v1		assembly from type material
GCF_000145295.1	PRJNA224116	SAMN02603260		representative genome	79929	145263	Methanothermobacter marburgensis str. Marburg	strain=Marburg		latest	Complete Genome	Major	Full	2010/08/11	ASM14529v1	Georg-August-University Goettingen	GCA_000145295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/295/GCF_000145295.1_ASM14529v1		assembly from type material
GCF_000023945.1	PRJNA224116	SAMN00002611		representative genome	519442	146826	Halorhabdus utahensis DSM 12940	strain=DSM 12940		latest	Complete Genome	Major	Full	2009/08/27	ASM2394v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/945/GCF_000023945.1_ASM2394v1		assembly from type material
GCF_000179575.2	PRJNA224116	SAMN00100784		representative genome	647113	155863	Methanothermococcus okinawensis IH1	strain=IH1		latest	Complete Genome	Major	Full	2011/06/06	ASM17957v2	US DOE Joint Genome Institute (JGI-PGF)	GCA_000179575.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/575/GCF_000179575.2_ASM17957v2		assembly from type material
GCF_000017945.1	PRJNA224116	SAMN02598324		representative genome	453591	160233	Ignicoccus hospitalis KIN4/I	strain=KIN4/I		latest	Complete Genome	Major	Full	2007/08/29	ASM1794v1	US DOE Joint Genome Institute	GCA_000017945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/945/GCF_000017945.1_ASM1794v1		assembly from type material
GCF_000337595.1	PRJNA224116	SAMN02471680	AOIL00000000.1	na	1230458	160846	Natrialba taiwanensis DSM 12281	strain=DSM 12281		latest	Contig	Major	Full	2013/02/04	ASM33759v1	University of California, Davis	GCA_000337595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/595/GCF_000337595.1_ASM33759v1		assembly from type material
GCF_000265525.1	PRJNA224116	SAMN02603492		representative genome	163003	163003	Thermococcus cleftensis	strain=CL1		latest	Complete Genome	Major	Full	2012/06/11	ASM26552v1	Kyung Hee University	GCA_000265525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/525/GCF_000265525.1_ASM26552v1		assembly from type material
GCF_000148385.1	PRJNA224116	SAMN00017002		representative genome	572478	164451	Vulcanisaeta distributa DSM 14429	strain=DSM 14429		latest	Complete Genome	Major	Full	2010/09/22	ASM14838v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000148385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/385/GCF_000148385.1_ASM14838v1		assembly from type material
GCF_001316025.1	PRJNA224116	SAMD00000417	BBBK00000000.1	na	1293586	164452	Vulcanisaeta souniana JCM 11219	strain=JCM 11219		latest	Contig	Major	Full	2015/10/01	ASM131602v1	The University of Tokyo	GCA_001316025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/316/025/GCF_001316025.1_ASM131602v1		assembly from type material
GCF_000970265.1	PRJNA224116	SAMN03074579		representative genome	1434111	170861	Methanosarcina lacustris Z-7289	strain=Z-7289		latest	Complete Genome	Major	Full	2015/04/07	ASM97026v1	University of Illinois at Urbana-Champaign	GCA_000970265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/265/GCF_000970265.1_ASM97026v1		
GCF_000337455.1	PRJNA224116	SAMN02471654	AOIU00000000.1	representative genome	797114	171164	Halosimplex carlsbadense 2-9-1	strain=2-9-1		latest	Contig	Major	Full	2013/02/04	ASM33745v1	University of California, Davis	GCA_000337455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/455/GCF_000337455.1_ASM33745v1		assembly from type material
GCF_000022545.1	PRJNA224116	SAMN02603090		representative genome	604354	172049	Thermococcus sibiricus MM 739	strain=MM 739		latest	Complete Genome	Major	Full	2009/06/29	ASM2254v1	Centre	GCA_000022545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/545/GCF_000022545.1_ASM2254v1		assembly from type material
GCF_000193375.1	PRJNA224116	SAMN02603093		representative genome	999630	184117	Thermoproteus uzoniensis 768-20	strain=768-20		latest	Complete Genome	Major	Full	2011/03/28	ASM19337v1	Centre Bioengineering RAS	GCA_000193375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/375/GCF_000193375.1_ASM19337v1		
GCF_000022365.1	PRJNA224116	SAMN02603333		representative genome	593117	187878	Thermococcus gammatolerans EJ3	strain=EJ3; DSM 15229		latest	Complete Genome	Major	Full	2009/06/12	ASM2236v1	IGM/ Universit Paris-Sud, France	GCA_000022365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/365/GCF_000022365.1_ASM2236v1		assembly from type material
GCF_000621965.1	PRJNA224116	SAMN02744021	JHWX00000000.1	representative genome	1410664	190977	Methanobrevibacter wolinii SH	strain=SH		latest	Scaffold	Major	Full	2014/04/08	ASM62196v1	DOE Joint Genome Institute	GCA_000621965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/965/GCF_000621965.1_ASM62196v1		assembly from type material
GCF_000585495.1	PRJNA224116	SAMN03081537		representative genome	195522	195522	Thermococcus nautili	strain=30-1		latest	Complete Genome	Major	Full	2014/03/05	ASM58549v1	Institute de Genetique et Microbiologie	GCA_000585495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/495/GCF_000585495.1_ASM58549v1		assembly from type material
GCF_000317795.1	PRJNA224116	SAMN02261426		representative genome	1056495	200415	Caldisphaera lagunensis DSM 15908	strain=DSM 15908		latest	Complete Genome	Major	Full	2012/12/10	ASM31779v1	JGI	GCA_000317795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/795/GCF_000317795.1_ASM31779v1		assembly from type material
GCF_000243455.1	PRJNA224116	SAMN02261372	AGJL00000000.1	representative genome	647171	213185	Methanotorris formicicus Mc-S-70	strain=Mc-S-70		latest	Contig	Major	Full	2012/01/23	ASM24345v2	JGI	GCA_000243455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/455/GCF_000243455.1_ASM24345v2		assembly from type material
GCF_000337155.1	PRJNA224116	SAMN02471672	AOIK00000000.1	na	1227494	222984	Natrinema altunense JCM 12890	strain=JCM 12890		latest	Contig	Major	Full	2013/02/04	ASM33715v1	University of California, Davis	GCA_000337155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/155/GCF_000337155.1_ASM33715v1		assembly from type material
GCF_000731985.1	PRJNA224116	SAMN02800870	JNCS00000000.1	representative genome	222984	222984	Natrinema altunense	strain=AJ2		latest	Contig	Major	Full	2014/07/21	ASM73198v1	Zhejiang University	GCA_000731985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/985/GCF_000731985.1_ASM73198v1		assembly from type material
GCF_000404165.1	PRJNA224116	SAMN02602974		representative genome	224719	224719	Methanobrevibacter sp. AbM4	strain=AbM4		latest	Complete Genome	Major	Full	2013/06/03	ASM40416v1	AgResearch Ltd. & The New Zealand Agricultural Greenhouse Gas Research Centre	GCA_000404165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/404/165/GCF_000404165.1_ASM40416v1		
GCF_001484195.1	PRJNA224116	SAMN04166689	LLYW00000000.1	representative genome	227598	227598	Thermococcus celericrescens	strain=DSM 17994		latest	Contig	Major	Full	2016/01/04	ASM148419v1	Kyungpook National University, Shin's Lab.	GCA_001484195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/484/195/GCF_001484195.1_ASM148419v1		assembly from type material
GCF_000231015.2	PRJNA224116	SAMN02232017		representative genome	768672	228748	Desulfurococcus fermentans DSM 16532	strain=DSM 16532		latest	Complete Genome	Major	Full	2012/06/07	ASM23101v3	DOE Joint Genome Institute	GCA_000231015.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/015/GCF_000231015.2_ASM23101v3		assembly from type material
GCF_000226975.2	PRJNA224116	SAMN02470038		na	358396	229731	Halobiforma lacisalsi AJ5	strain=AJ5		latest	Complete Genome	Major	Full	2017/01/23	ASM22697v3	College of Life Sciences, Zhejiang University	GCA_000226975.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/975/GCF_000226975.2_ASM22697v3		assembly from type material
GCF_000336655.1	PRJNA224116	SAMN02471659	AOLZ00000000.1	representative genome	358396	229731	Halobiforma lacisalsi AJ5	strain=AJ5		latest	Contig	Major	Full	2013/02/04	ASM33665v1	University of California, Davis	GCA_000336655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/655/GCF_000336655.1_ASM33665v1		assembly from type material
GCF_001316065.1	PRJNA224116	SAMD00000424	BBBZ00000000.1	representative genome	1198449	229980	Aeropyrum camini SY1 = JCM 12091	strain=JCM 12091		latest	Contig	Major	Full	2015/10/01	ASM131606v1	The University of Tokyo	GCA_001316065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/316/065/GCF_001316065.1_ASM131606v1		assembly from type material
GCF_000784355.1	PRJNA224116	SAMN03196739	AXDV00000000.1	na	230356	230356	Methanolacinia paynteri	strain=DSM 2545		latest	Scaffold	Major	Full	2014/11/17	Metpay	Leibniz Institute DSMZ Braunschweig	GCA_000784355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/355/GCF_000784355.1_Metpay		assembly from type material
GCF_001477655.1	PRJNA224116	SAMN03438115		representative genome	230361	230361	Methanobrevibacter millerae	strain=SM9		latest	Complete Genome	Major	Full	2015/12/22	ASM147765v1	PGgRc	GCA_001477655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/655/GCF_001477655.1_ASM147765v1		
GCF_000144915.1	PRJNA224116	SAMN02603091		representative genome	666510	242703	Acidilobus saccharovorans 345-15	strain=345-15		latest	Complete Genome	Major	Full	2010/08/06	ASM14491v1	Centre Bioengineering RAS	GCA_000144915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/915/GCF_000144915.1_ASM14491v1		assembly from type material
GCF_000337755.1	PRJNA224116	SAMN02471658	AOLS00000000.1	na	662475	244363	Haloarcula californiae ATCC 33799	strain=ATCC 33799		latest	Contig	Major	Full	2013/02/04	ASM33775v1	University of California, Davis	GCA_000337755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/755/GCF_000337755.1_ASM33775v1		assembly from type material
GCF_000151205.2	PRJNA224116	SAMN02603626		na	246969	246969	Thermococcus sp. AM4	strain=AM4		latest	Complete Genome	Major	Full	2011/09/08	ASM15120v2	Moore Foundation	GCA_000151205.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/205/GCF_000151205.2_ASM15120v2		
GCF_000337215.1	PRJNA224116	SAMN02471623	AOHZ00000000.1	representative genome	1227499	253107	Natronolimnobius innermongolicus JCM 12255	strain=JCM 12255		latest	Contig	Major	Full	2013/02/04	ASM33721v1	University of California, Davis	GCA_000337215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/215/GCF_000337215.1_ASM33721v1		assembly from type material
GCF_000337835.1	PRJNA224116	SAMN02471686	AOLM00000000.1	na	662480	255616	Haloferax sulfurifontis ATCC BAA-897	strain=ATCC BAA-897		latest	Contig	Major	Full	2013/02/04	ASM33783v1	University of California, Davis	GCA_000337835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/835/GCF_000337835.1_ASM33783v1		assembly from type material
GCF_000235685.2	PRJNA224116	SAMN02261397	AGIY00000000.2	representative genome	882090	263906	Methanolinea tarda NOBI-1	strain=NOBI-1		latest	Chromosome	Major	Full	2014/01/13	ASM23568v3	JGI	GCA_000235685.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/685/GCF_000235685.2_ASM23568v3		assembly from type material
GCF_000337435.1	PRJNA224116	SAMN02471682	AOIW00000000.1	na	1227486	267368	Halorubrum terrestre JCM 10247	strain=JCM 10247		latest	Contig	Major	Full	2013/02/04	ASM33743v1	University of California, Davis	GCA_000337435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/435/GCF_000337435.1_ASM33743v1		assembly from type material
GCF_001418715.1	PRJNA224116	SAMN04011897	LIXN00000000.1	representative genome	277988	277988	Thermococcus thioreducens	strain=DSM 14981		latest	Contig	Major	Full	2015/10/28	ASM141871v1	Kyungpook National University, Shin's Lab.	GCA_001418715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/418/715/GCF_001418715.1_ASM141871v1		assembly from type material
GCF_900109425.1	PRJNA224116	SAMN05216170	FOIW00000000.1	na	277988	277988	Thermococcus thioreducens	strain=OGL-20		latest	Scaffold	Major	Full	2016/10/31	IMG-taxon 2654588132 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900109425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/425/GCF_900109425.1_IMG-taxon_2654588132_annotated_assembly		
GCF_000009185.1	PRJNA224116	SAMEA3138195		na	362976	293091	Haloquadratum walsbyi DSM 16790	strain=DSM 16790 = HBSQ001		latest	Complete Genome	Major	Full	2006/06/22	ASM918v1	Max Planck Institute	GCA_000009185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/185/GCF_000009185.1_ASM918v1		
GCF_000237865.1	PRJNA224116	SAMEA2272799		representative genome	768065	293091	Haloquadratum walsbyi C23			latest	Complete Genome	Major	Full	2011/05/31	ASM23786v1	Max-Planck-Institute of Biochemistry	GCA_000237865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/865/GCF_000237865.1_ASM23786v1		assembly from type material
GCF_001563245.1	PRJNA224116	SAMN04335716		na	294671	294671	Methanobrevibacter olleyae	strain=YLM1		latest	Complete Genome	Major	Full	2016/02/18	ASM156324v1	PGgRc	GCA_001563245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/245/GCF_001563245.1_ASM156324v1		
GCF_900114585.1	PRJNA224116	SAMN02910297	FOTL00000000.1	na	294671	294671	Methanobrevibacter olleyae	strain=DSM 16632		latest	Scaffold	Major	Full	2016/11/02	IMG-taxon 2593339150 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900114585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/585/GCF_900114585.1_IMG-taxon_2593339150_annotated_assembly		assembly from type material
GCF_000235565.1	PRJNA224116	SAMN02603883		representative genome	1110509	301375	Methanosaeta harundinacea 6Ac	strain=6Ac		latest	Complete Genome	Major	Full	2011/11/16	ASM23556v1	State Key Laboratory of Microbial Resources, Institute of Microbiology, Chinese Academy of Sciences	GCA_000235565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/565/GCF_000235565.1_ASM23556v1		
GCF_001953745.1	PRJNA224116	SAMN04868784	LWLN00000000.1	na	301967	301967	Haloterrigena saccharevitans	strain=AB14		latest	Contig	Major	Full	2017/01/18	ASM195374v1	National Chung Hsing University	GCA_001953745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/745/GCF_001953745.1_ASM195374v1		
GCF_000336955.1	PRJNA224116	SAMN02471655	AOLI00000000.1	na	1227460	302484	Haloferax larsenii JCM 13917	strain=JCM 13917		latest	Contig	Major	Full	2013/02/04	ASM33695v1	University of California, Davis	GCA_000336955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/955/GCF_000336955.1_ASM33695v1		assembly from type material
